tx_num,x_m,y_m,z_m,path_to_focus_m,phase_ideal_rad,tick,phase_quant_rad,phase_error_rad
1,-0.022000000,0.022000000,0.000000000,0.054708317,0.000000000,0,0.000000000,0.000000000
2,-0.011000000,0.022000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
3,0.000000000,0.022000000,0.000000000,0.050089919,-2.899132541,673,-2.900318338,-0.001185797
4,0.011000000,0.022000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
5,0.022000000,0.022000000,0.000000000,0.054708317,0.000000000,0,0.000000000,0.000000000
6,-0.022000000,0.011000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
7,-0.011000000,0.011000000,0.000000000,0.047613023,-1.084229360,1034,-1.085734421,-0.001505061
8,0.000000000,0.011000000,0.000000000,0.046324939,-0.140407628,1222,-0.140743351,-0.000335723
9,0.011000000,0.011000000,0.000000000,0.047613023,-1.084229360,1034,-1.085734421,-0.001505061
10,0.022000000,0.011000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
11,-0.022000000,0.000000000,0.000000000,0.050089919,-2.899132541,673,-2.900318338,-0.001185797
12,-0.011000000,0.000000000,0.000000000,0.046324939,-0.140407628,1222,-0.140743351,-0.000335723
13,0.000000000,0.000000000,0.000000000,0.045000000,0.830419085,165,0.829380461,-0.001038624
14,0.011000000,0.000000000,0.000000000,0.046324939,-0.140407628,1222,-0.140743351,-0.000335723
15,0.022000000,0.000000000,0.000000000,0.050089919,-2.899132541,673,-2.900318338,-0.001185797
16,-0.022000000,-0.011000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
17,-0.011000000,-0.011000000,0.000000000,0.047613023,-1.084229360,1034,-1.085734421,-0.001505061
18,0.000000000,-0.011000000,0.000000000,0.046324939,-0.140407628,1222,-0.140743351,-0.000335723
19,0.011000000,-0.011000000,0.000000000,0.047613023,-1.084229360,1034,-1.085734421,-0.001505061
20,0.022000000,-0.011000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
21,-0.022000000,-0.022000000,0.000000000,0.054708317,0.000000000,0,0.000000000,0.000000000
22,-0.011000000,-0.022000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
23,0.000000000,-0.022000000,0.000000000,0.050089919,-2.899132541,673,-2.900318338,-0.001185797
24,0.011000000,-0.022000000,0.000000000,0.051283526,2.509457937,499,2.508247575,-0.001210362
25,0.022000000,-0.022000000,0.000000000,0.054708317,0.000000000,0,0.000000000,0.000000000
